symbol,company_name,source_index,business_focus_note,market_cap,pass_market_cap,roce,pass_roce,opm,pass_opm,operating_cash_flow,pass_operating_cash_flow,debt_to_equity,pass_debt_to_equity,pledged_pct,pass_pledged_pct,fundamentals_passed_count,fundamentals_failed,fundamentals_status,fundamentals_as_of,pledged_as_of,current_price,latest_rsi,latest_adx,plus_di,minus_di,trend_direction,rs_score_vs_nifty500,nearest_support,nearest_resistance,technically_attractive,price_sessions,rs_score_vs_nifty500_prev_avg,rs_momentum_vs_nifty500,rs_last_10d,recent_10day_contribution_pct,rs_6m_skip1m,rs_score_vs_sector_avg,sector_rank,rs_momentum_vs_sector,rrg_quadrant_vs_nifty500,rrg_quadrant_vs_sector,di_gap,thin_trend_flag,recent_spike_flag,fundamentals_clean,high_turnover_business_flag,hard_fundamentals_pass,soft_fundamental_fails,selection_eligible,full_standard_candidate
DEEDEV,DEE Development,Screener: Industrial Products,,5012.45,True,10.69,True,16.91,True,19.55,True,0.87,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,666.2,51.65,14.19,25.76,24.39,Bullish (Uptrend),1.62,633.0,669.25,False,247,-2.27,5.26,3.47,214.2,140.99,-7.53,54,7.74,LEADING,IMPROVING,1.37,True,True,True,False,True,,False,False
ELGIEQUIP,Elgi Equipments,"Screener: Compressors, Pumps & Diesel Engines",,19109.61,True,22.07,True,14.76,True,453.5,True,0.24,True,0.88,True,6,,OK,2026-09-26,Screener 2026-09-26,603.0,45.94,12.74,18.76,21.05,Bearish (Downtrend),0.85,596.0,607.0,False,247,1.83,-0.57,-1.47,-172.9,15.71,-8.3,55,1.92,WEAKENING,IMPROVING,-2.29,False,False,True,False,True,,False,False
ABB,A B B,Screener: Heavy Electrical Equipment,,149448.38,True,29.93,True,13.97,True,1219.52,True,0.02,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,7052.5,37.96,22.21,17.19,24.43,Bearish (Downtrend),0.66,7005.0,7083.0,False,247,4.62,-2.54,-2.25,-340.9,11.94,-8.49,56,-0.06,WEAKENING,LAGGING,-7.24,False,False,True,False,True,,False,False
EMMVEE,Emmvee Photovol.,Screener: Other Electrical Equipment,,22286.59,True,44.62,True,34.64,True,200.14,True,0.1,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,321.9,45.97,18.28,23.18,24.34,Bearish (Downtrend),-1.42,320.05,329.95,False,213,-3.98,4.99,-4.54,,38.61,-10.57,57,7.47,IMPROVING,IMPROVING,-1.16,True,False,True,False,True,,False,False
ESABINDIA,Esab India,Screener: Other Industrial Products,,8507.72,True,64.68,True,18.38,True,180.69,True,0.01,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,5527.0,32.11,27.72,13.43,25.32,Bearish (Downtrend),-2.24,5524.5,5550.0,False,247,1.96,-3.74,-3.58,,5.58,-11.39,59,-1.26,LAGGING,LAGGING,-11.89,False,False,True,False,True,,False,False
INGERRAND,Ingersoll-Rand,"Screener: Compressors, Pumps & Diesel Engines",,13364.63,True,57.11,True,23.99,True,273.66,True,0.01,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,4233.6,37.36,26.12,15.62,23.15,Bearish (Downtrend),-3.53,4230.4,4275.0,False,247,15.0,-21.47,-6.54,,15.36,-12.68,61,-18.99,LAGGING,LAGGING,-7.53,False,False,True,False,True,,False,False
TITAGARH,Titagarh Rail,Screener: Railway Wagons,,11078.26,True,10.92,True,10.73,True,322.43,True,0.25,True,0.06,True,6,,OK,2026-09-26,Screener 2026-09-26,822.6,44.89,12.98,16.43,23.32,Bearish (Downtrend),-4.62,821.0,848.0,False,247,0.9,-7.27,-2.74,,24.71,-13.78,62,-4.79,LAGGING,LAGGING,-6.89,False,False,True,False,True,,False,False
SKFINDIA,SKF India,Screener: Abrasives & Bearings,,7612.46,True,13.33,True,11.57,True,362.63,True,0.0,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,1539.8,49.44,23.1,23.99,11.52,Bullish (Uptrend),-5.28,1538.0,1559.0,False,247,-6.34,0.08,2.06,,-5.62,-14.43,63,2.56,IMPROVING,IMPROVING,12.47,False,False,True,False,True,,True,False
POWERICA,Powerica Ltd,Screener: Heavy Electrical Equipment,,7377.34,True,15.67,True,12.49,True,452.88,True,0.29,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,582.95,59.37,11.69,23.92,18.3,Bullish (Uptrend),-5.34,538.0,583.45,False,121,11.51,-21.6,2.75,,,-14.49,64,-19.11,LAGGING,LAGGING,5.62,False,False,True,False,True,,False,False
CGPOWER,CG Power & Ind,Screener: Heavy Electrical Equipment,,139586.49,True,26.71,True,12.77,True,702.45,True,0.01,True,0.0,True,6,,OK,2026-09-26,Screener 2026-09-26,886.0,48.85,13.5,22.17,23.24,Bearish (Downtrend),-5.62,883.05,886.8,False,247,-3.54,-0.34,-1.6,,16.25,-14.78,65,2.14,LAGGING,IMPROVING,-1.07,True,False,True,False,True,,False,False
